0	Halftime16	Halftime24	Halftime32	Halftime40	Halftime16v3	Halftime24v3	Halftime32v3	Halftime40v3	clhash	clhash128	umash	umash128
109	2.7948718	2.3191489	2.2244898	2.0566038
110	2.8205128	2.3404255	2.244898	2.0754717
111	2.8461538	2.3617021	2.2653061	2.0943396
112	2.8717949	2.3829787	2.2857143	2.1132075
113	2.8974359	2.3541667	2.3061224	2.1320755
114	2.9230769	2.4255319	2.3265306	2.1923077
115	2.9487179	2.3958333	2.3469388	2.2115385
116	2.974359	2.4166667	2.3673469	2.2307692
117	2.925	2.4375	2.3877551	2.1666667
118	2.95	2.4583333	2.4081633	2.2264151
119	2.975	2.4791667	2.4285714	2.245283
120	3	2.5	2.4489796	2.3076923
121	3.025	2.5208333	2.4693878	2.2830189
122	2.9756098	2.5416667	2.4897959	2.3461538
123	3	2.5625	2.5102041	2.3653846
124	3.0243902	2.5306122	2.48	2.3846154
125	3.0487805	2.6041667	2.5510204	2.3584906
126	3.0731707	2.625	2.52	2.3773585
127	3.097561	2.6458333	2.54	2.4423077
128	3.3684211	2.6122449	2.6666667	2.3272727
129	3.3947368	2.6326531	2.6875	2.3454545
130	3.4210526	2.6530612	2.6530612	2.3636364
131	3.4473684	2.6734694	2.6734694	2.3818182
132	3.4736842	2.6938776	2.6938776	2.4
133	3.4102564	2.7142857	2.7142857	2.4181818
134	3.5263158	2.7346939	2.7346939	2.4363636
135	3.4615385	2.755102	2.755102	2.4107143
136	3.5789474	2.72	2.8333333	2.4727273
137	3.5128205	2.7959184	2.8541667	2.4909091
138	3.5384615	2.8163265	2.8163265	2.5090909
139	3.475	2.8367347	2.8367347	2.5272727
140	3.5	2.8571429	2.8571429	2.5454545
141	3.6153846	2.877551	2.877551	2.5636364
142	3.6410256	2.8979592	2.9583333	2.5818182
143	3.575	2.9183673	2.9791667	2.6
144	3.6923077	2.9387755	3	2.6181818
145	3.625	2.9591837	2.9591837	2.5892857
146	3.65	2.9795918	2.9795918	2.6545455
147	3.675	3	3	2.6727273
148	3.7	3.0204082	3.0204082	2.6909091
149	3.725	3.0408163	3.0408163	2.7090909
150	3.75	3.0612245	3.0612245	2.6785714
151	3.775	3.0816327	3.0816327	2.7454545
152	3.8	3.04	3.1020408	2.7636364
153	3.825	3.122449	3.1875	2.7818182
154	3.85	3.1428571	3.1428571	2.8
155	3.875	3.1632653	3.1632653	2.8703704
156	3.9	3.1836735	3.1836735	2.8363636
157	3.925	3.2040816	3.2040816	2.8545455
158	3.95	3.2244898	3.2916667	2.8214286
159	3.975	3.18	3.244898	2.8392857
160	4	3.2	3.2653061	2.9090909
161	3.9268293	3.2857143	3.2857143	2.9272727
162	3.9512195	3.3061224	3.3061224	2.9454545
163	3.9756098	3.3265306	3.3265306	3.0185185
164	4	3.3469388	3.3469388	2.9818182
165	4.125	3.3673469	3.3673469	3
166	4.15	3.3877551	3.3877551	3.0181818
167	4.175	3.4081633	3.4081633	3.0363636
168	4.2	3.36	3.4285714	3.0545455
169	4.225	3.4489796	3.4489796	3.0727273
