0	HalftimeHash24	clhash
1	0.029411764705882352533	0.066666666666666665741
2	0.060606060606060607743	0.13333333333333333148
3	0.088235294117647064538	0.1875
4	0.11764705882352941013	0.26666666666666666297
5	0.14285714285714284921	0.33333333333333331483
6	0.16666666666666665741	0.4000000000000000222
7	0.18918918918918919969	0.46666666666666667407
8	0.21621621621621622822	1.6000000000000000888
9	0.24324324324324325675	0.5999999999999999778
10	0.28571428571428569843	0.625
11	0.28947368421052632748	0.6875
12	0.33333333333333331483	0.75
13	0.35135135135135137086	0.8125
14	0.36842105263157892692	0.875
15	0.39473684210526316374	0.9375
16	0.42105263157894734505	2.6666666666666665186
17	0.44736842105263158187	1.1333333333333333037
18	0.48648648648648651349	1.1999999999999999556
19	0.5	1.1875
20	0.52631578947368418131	1.3333333333333332593
21	0.53846153846153843592	1.3999999999999999112
22	0.55000000000000004441	1.466666666666666563
23	0.56097560975609761513	1.533333333333333437
24	0.5999999999999999778	4
25	0.625	1.6666666666666667407
26	0.66666666666666662966	1.625
27	0.67500000000000004441	1.6875
28	0.69999999999999995559	1.75
29	0.7249999999999999778	1.8125
30	0.73170731707317071546	1.875
31	0.73809523809523813753	1.9375
32	0.74418604651162789665	5.3333333333333330373
33	0.78571428571428569843	2.2000000000000001776
34	0.8499999999999999778	2.2666666666666666075
35	0.83333333333333337034	2.3333333333333334814
36	0.87804878048780488076	2.3999999999999999112
37	0.88095238095238093123	2.4666666666666667851
38	0.88372093023255815503	2.5333333333333332149
39	0.88636363636363635354	2.6000000000000000888
40	0.93023255813953487081	6.6666666666666669627
41	0.97619047619047616404	2.7333333333333333925
42	1	2.625
43	1	2.6875
44	1.0232558139534884134	2.75
45	1.0227272727272727071	2.8125
46	1.0222222222222221433	2.875
47	1.0681818181818181213	2.9375
48	1.0909090909090908283	6.8571428571428567622
49	1.1136363636363635354	3.2666666666666666075
50	1.1627906976744186718	3.3333333333333334814
51	1.1590909090909091717	3.3999999999999999112
52	1.155555555555555447	3.4666666666666667851
53	1.1521739130434782705	3.5333333333333332149
54	1.1739130434782609758	3.6000000000000000888
55	1.1458333333333332593	3.6666666666666665186
56	1.1914893617021276029	8
57	1.2127659574468085957	3.7999999999999998224
58	1.2608695652173913526	3.625
59	1.2553191489361701372	3.6875
60	1.304347826086956541	3.75
61	1.2708333333333332593	3.8125
62	1.2916666666666667407	3.875
63	1.3125	3.9375
64	1.8823529411764705621	9.1428571428571423496
65	1.9117647058823530326	4.3333333333333330373
66	2	4.4000000000000003553
67	1.9705882352941177516	4.4666666666666667851
68	2	4.5333333333333332149
69	1.9714285714285715301	4.5999999999999996447
70	1.9444444444444444198	4.6666666666666669627
71	1.9722222222222223209	4.7333333333333333925
72	2	10.285714285714286476
73	2.0857142857142858539	4.8666666666666662522
74	2.1764705882352939348	4.625
75	2.1428571428571427937	4.6875
76	2.1714285714285712636	4.75
77	2.1388888888888888395	4.8125
78	2.1081081081081078921	4.875
79	2.078947368421052655	4.9375
80	2.1052631578947367252	10
81	2.1315789473684212396	5.4000000000000003553
82	2.2777777777777776791	5.4666666666666667851
83	2.2432432432432434233	5.5333333333333332149
84	2.2702702702702701743	5.5999999999999996447
85	2.2972972972972973693	5.6666666666666669627
86	2.1499999999999999112	5.7333333333333333925
87	2.1749999999999998224	5.7999999999999998224
88	2.2000000000000001776	11
89	2.2250000000000000888	5.9333333333333335702
90	2.3684210526315787604	5.625
91	2.3333333333333334814	5.6875
92	2.2999999999999998224	5.75
93	2.2682926829268290625	5.8125
94	2.2926829268292681085	5.875
95	2.2619047619047618625	5.9375
96	2.3414634146341462007	12
97	2.3658536585365852467	6.4666666666666667851
98	2.3902439024390242928	6.5333333333333332149
99	2.4146341463414633388	6.5999999999999996447
100	2.3809523809523809312	6.6666666666666669627
101	2.348837209302325757	6.7333333333333333925
102	2.3720930232558141704	6.7999999999999998224
103	2.3953488372093021397	6.8666666666666662522
104	2.3636363636363637575	13
105	2.5	7
106	2.5853658536585366612	6.625
107	2.5476190476190474499	6.6875
108	2.5116279069767442067	6.75
109	2.4772727272727270709	6.8125
110	2.5	6.875
111	2.4666666666666667851	6.9375
112	2.5454545454545454142	14
113	2.5681818181818183433	7.5333333333333332149
114	2.651162790697674243	7.5999999999999996447
115	2.6136363636363637575	7.6666666666666669627
116	2.6363636363636362425	7.7333333333333333925
117	2.6000000000000000888	7.7999999999999998224
118	2.6222222222222222321	7.8666666666666662522
119	2.4791666666666665186	7.9333333333333335702
120	2.6086956521739130821	13.333333333333333925
121	2.5744680851063828086	8.0666666666666664298
122	2.7111111111111112493	8.1333333333333328596
123	2.6739130434782607537	8.1999999999999992895
124	2.6382978723404253429	7.75
125	2.6595744680851063357	7.8125
126	2.6808510638297873285	7.875
127	2.7021276595744678772	7.9375
128	3.6571428571428570287	14.222222222222221433
129	3.7941176470588233727	8.5999999999999996447
130	3.8235294117647060652	8.6666666666666660745
131	3.7428571428571428825	8.7333333333333325044
132	3.7714285714285713524	8.8000000000000007105
133	3.6944444444444446418	8.8666666666666671404
134	3.6216216216216214896	8.9333333333333335702
135	3.6486486486486486847	9
136	3.7777777777777776791	15.111111111111110716
137	3.7027027027027026307	9.1333333333333328596
138	3.9428571428571430602	9.1999999999999992895
139	3.7567567567567565767	9.2666666666666674956
140	3.7837837837837837718	8.75
141	3.6153846153846154188	8.8125
142	3.6410256410256409687	8.875
143	3.6666666666666665186	8.9375
144	3.6923076923076925127	16
145	3.9189189189189188589	9.6666666666666660745
146	3.8421052631578946901	9.7333333333333325044
147	3.8684210526315787604	9.8000000000000007105
148	3.8947368421052632748	9.8666666666666671404
149	3.921052631578947345	9.9333333333333335702
150	3.6585365853658537993	10
151	3.7749999999999999112	10.06666666666666643
152	3.7073170731707318915	16.888888888888889284
153	3.7317073170731709375	10.199999999999999289
154	3.8500000000000000888	10.266666666666667496
155	3.875	10.333333333333333925
156	4	9.75
157	3.9249999999999998224	9.8125
158	3.7619047619047618625	9.875
159	3.6976744186046510698	9.9375
160	3.7209302325581394832	17.777777777777778567
161	3.8333333333333334814	10.733333333333332504
162	3.8571428571428572063	10.800000000000000711
163	3.8809523809523809312	10.86666666666666714
164	3.8139534883720931369	10.93333333333333357
165	3.75	11
166	3.8604651162790699637	11.06666666666666643
